"File","Size (bytes)","Modified","Migration Complexity","Is Critical","Firebase Imports","Firestore Calls","Auth Calls","Function Triggers","Config References"
"asoos-deploy/functions/package-lock.json","113985","2025-08-10T05:09:45.268Z","CRITICAL","true","33","0","0","1","0"
"auth/asym-blockchain-authorization.js","11329","2025-08-11T19:17:13.973Z","HIGH","true","2","1","0","1","1"
"auth/hooks/as-agent-fixed-auth-hook.js","15688","2025-08-11T10:47:49.348Z","HIGH","true","2","1","3","0","0"
"auth/hooks/as-agent-fixed-auth-hook.ts","12075","2025-08-11T10:47:49.348Z","HIGH","true","2","1","4","0","0"
"auth/hooks/as-fixed-auth-hook.js","15688","2025-08-11T10:47:49.348Z","HIGH","true","2","1","3","0","0"
"auth/hooks/as-fixed-auth-hook.ts","12075","2025-08-11T10:47:49.348Z","HIGH","true","2","1","4","0","0"
"auth/hooks/as-use-auth-hook.js","18426","2025-08-11T10:47:49.349Z","HIGH","true","2","1","3","0","0"
"auth/hooks/as-use-auth-hook.ts","16641","2025-08-11T10:47:49.349Z","HIGH","true","2","3","4","0","0"
"backend/functions/authTrigger.js","9679","2025-08-11T19:17:13.974Z","HIGH","true","2","2","2","1","1"
"claude-env/lib/python3.13/site-packages/annotated_types/__init__.py","13819","2025-05-03T03:27:18.248Z","HIGH","false","0","4","0","0","0"
"claude-env/lib/python3.13/site-packages/anthropic/_base_client.py","68138","2025-05-03T03:27:18.609Z","LOW","false","0","1","0","0","0"
"claude-env/lib/python3.13/site-packages/anthropic/_legacy_response.py","17236","2025-05-03T03:27:18.610Z","LOW","false","0","0","0","1","0"
"claude-env/lib/python3.13/site-packages/anthropic/_response.py","30543","2025-05-03T03:27:18.610Z","LOW","false","0","0","0","1","0"
"claude-env/lib/python3.13/site-packages/anthropic/_utils/_utils.py","12312","2025-05-03T03:27:18.612Z","LOW","false","0","0","0","1","0"
"claude-env/lib/python3.13/site-packages/certifi/__main__.py","243","2025-05-03T03:27:18.243Z","LOW","false","0","1","0","0","0"
"claude-env/lib/python3.13/site-packages/certifi/core.py","4426","2025-05-03T03:27:18.244Z","CRITICAL","false","0","8","0","0","0"
"claude-env/lib/python3.13/site-packages/google/api_core/grpc_helpers_async.py","12966","2025-05-03T03:40:29.415Z","LOW","false","0","0","0","1","0"
"claude-env/lib/python3.13/site-packages/google/api_core/operation.py","13198","2025-05-03T03:40:29.415Z","MEDIUM","false","0","0","0","2","0"
"claude-env/lib/python3.13/site-packages/google/api_core/operations_v1/abstract_operations_client.py","16073","2025-05-03T03:40:29.418Z","HIGH","false","0","0","0","3","0"
"claude-env/lib/python3.13/site-packages/google/api_core/operations_v1/operations_async_client.py","14794","2025-05-03T03:40:29.418Z","HIGH","false","0","0","0","3","0"
"claude-env/lib/python3.13/site-packages/google/api_core/operations_v1/operations_client.py","15274","2025-05-03T03:40:29.419Z","HIGH","false","0","0","0","3","0"
"claude-env/lib/python3.13/site-packages/google/api_core/operations_v1/operations_rest_client_async.py","14616","2025-05-03T03:40:29.419Z","HIGH","false","0","0","0","3","0"
"claude-env/lib/python3.13/site-packages/google/api_core/operations_v1/transports/rest.py","20599","2025-05-03T03:40:29.420Z","HIGH","false","0","0","0","4","0"
"claude-env/lib/python3.13/site-packages/google/api_core/operations_v1/transports/rest_asyncio.py","24822","2025-05-03T03:40:29.420Z","HIGH","false","0","0","0","4","0"
"claude-env/lib/python3.13/site-packages/google/api_core/retry/retry_unary_async.py","9415","2025-05-03T03:40:29.420Z","LOW","false","0","0","0","1","0"
